idx	X	Y	component
272	2136.727950616055	2300.972945726733	0
273	2139.322396747229	2300.499157164689	0
274	2136.679519764652	2300.980424762836	0
275	2139.370628810806	2300.493621992302	0
276	2139.38497053921	2300.491450897509	0
277	2140.853721556253	2300.238696194728	0
278	2140.89382805891	2300.230680306844	0
279	2141.565828233919	2300.117174311495	0
280	2140.857296026702	2300.237750624096	0
281	2141.677999083862	2300.099006650024	0
282	2141.69602892439	2300.095863227057	0
283	2143.224637834438	2299.834806881648	0
284	2143.233310080854	2299.833641533282	0
285	2147.256962415441	2299.121125595355	0
286	2143.21985947926	2299.835633734322	0
287	2147.245267571003	2299.120378156485	0
288	2147.243949101392	2299.121461651489	0
